,Mã khách hàng,Total Days
740,CUZ00741,44.0
741,CUZ00742,268.0
742,CUZ00743,193.0
743,CUZ00744,61.0
744,CUZ00745,0.0
745,CUZ00746,0.0
746,CUZ00747,0.0
747,CUZ00748,257.0
748,CUZ00749,0.0
749,CUZ00750,0.0
750,CUZ00751,0.0
751,CUZ00752,175.0
752,CUZ00753,0.0
753,CUZ00754,0.0
754,CUZ00755,89.0
755,CUZ00756,0.0
756,CUZ00757,0.0
757,CUZ00758,0.0
758,CUZ00759,0.0
759,CUZ00760,182.0
760,CUZ00761,91.0
761,CUZ00762,0.0
762,CUZ00763,0.0
763,CUZ00764,0.0
764,CUZ00765,0.0
765,CUZ00766,0.0
766,CUZ00767,0.0
767,CUZ00768,221.0
768,CUZ00769,0.0
769,CUZ00770,0.0
770,CUZ00771,0.0
771,CUZ00772,0.0
772,CUZ00773,202.0
773,CUZ00774,0.0
774,CUZ00775,0.0
775,CUZ00776,0.0
776,CUZ00777,0.0
777,CUZ00778,0.0
778,CUZ00779,0.0
779,CUZ00780,0.0
780,CUZ00781,0.0
781,CUZ00782,0.0
782,CUZ00783,0.0
783,CUZ00784,254.0
784,CUZ00785,0.0
785,CUZ00786,0.0
786,CUZ00787,0.0
787,CUZ00788,0.0
788,CUZ00789,267.0
789,CUZ00790,0.0
790,CUZ00791,0.0
791,CUZ00792,228.0
792,CUZ00793,55.0
793,CUZ00794,0.0
794,CUZ00795,0.0
795,CUZ00796,0.0
796,CUZ00797,0.0
797,CUZ00798,0.0
798,CUZ00799,250.0
799,CUZ00800,244.0
800,CUZ00801,0.0
801,CUZ00802,0.0
802,CUZ00803,0.0
803,CUZ00804,222.0
804,CUZ00805,0.0
805,CUZ00806,0.0
806,CUZ00807,175.0
807,CUZ00808,0.0
808,CUZ00809,226.0
809,CUZ00810,0.0
810,CUZ00811,0.0
811,CUZ00812,0.0
812,CUZ00813,156.0
813,CUZ00814,0.0
814,CUZ00815,0.0
815,CUZ00816,0.0
816,CUZ00817,168.0
817,CUZ00818,0.0
818,CUZ00819,0.0
819,CUZ00820,187.0
820,CUZ00821,0.0
821,CUZ00822,66.0
822,CUZ00823,0.0
823,CUZ00824,0.0
824,CUZ00825,0.0
825,CUZ00826,0.0
826,CUZ00827,0.0
827,CUZ00828,0.0
828,CUZ00829,0.0
829,CUZ00830,0.0
830,CUZ00831,0.0
831,CUZ00832,62.0
832,CUZ00833,0.0
833,CUZ00834,0.0
834,CUZ00835,0.0
835,CUZ00836,263.0
836,CUZ00837,0.0
837,CUZ00838,0.0
838,CUZ00839,0.0
839,CUZ00840,0.0
840,CUZ00841,0.0
841,CUZ00842,0.0
842,CUZ00843,0.0
843,CUZ00844,232.0
844,CUZ00845,0.0
845,CUZ00846,0.0
846,CUZ00847,0.0
847,CUZ00848,0.0
848,CUZ00849,0.0
849,CUZ00850,0.0
850,CUZ00851,241.0
851,CUZ00852,0.0
852,CUZ00853,0.0
853,CUZ00854,0.0
854,CUZ00855,0.0
855,CUZ00856,0.0
856,CUZ00857,0.0
857,CUZ00858,208.0
858,CUZ00859,0.0
859,CUZ00860,0.0
860,CUZ00861,0.0
861,CUZ00862,0.0
862,CUZ00863,197.0
863,CUZ00864,0.0
864,CUZ00865,0.0
865,CUZ00866,216.0
866,CUZ00867,0.0
867,CUZ00868,0.0
868,CUZ00869,214.0
869,CUZ00870,0.0
870,CUZ00871,0.0
871,CUZ00872,120.0
872,CUZ00873,0.0
873,CUZ00874,0.0
874,CUZ00875,0.0
875,CUZ00876,0.0
876,CUZ00877,0.0
877,CUZ00878,0.0
878,CUZ00879,0.0
879,CUZ00880,256.0
880,CUZ00881,247.0
881,CUZ00882,0.0
882,CUZ00883,0.0
883,CUZ00884,0.0
884,CUZ00885,83.0
885,CUZ00886,0.0
886,CUZ00887,0.0
887,CUZ00888,184.0
888,CUZ00889,0.0
889,CUZ00890,0.0
890,CUZ00891,0.0
891,CUZ00892,0.0
892,CUZ00893,0.0
893,CUZ00894,0.0
894,CUZ00895,240.0
895,CUZ00896,0.0
896,CUZ00897,0.0
897,CUZ00898,0.0
898,CUZ00899,0.0
899,CUZ00900,0.0
900,CUZ00901,0.0
901,CUZ00902,0.0
902,CUZ00903,0.0
903,CUZ00904,220.0
904,CUZ00905,0.0
905,CUZ00906,0.0
906,CUZ00907,0.0
907,CUZ00908,0.0
908,CUZ00909,0.0
909,CUZ00910,135.0
910,CUZ00911,0.0
911,CUZ00912,0.0
912,CUZ00913,0.0
913,CUZ00914,237.0
914,CUZ00915,0.0
915,CUZ00916,0.0
916,CUZ00917,0.0
917,CUZ00918,0.0
918,CUZ00919,0.0
919,CUZ00920,241.0
920,CUZ00921,0.0
921,CUZ00922,0.0
922,CUZ00923,0.0
923,CUZ00924,44.0
924,CUZ00925,0.0
925,CUZ00926,0.0
926,CUZ00927,0.0
927,CUZ00928,0.0
928,CUZ00929,0.0
929,CUZ00930,0.0
930,CUZ00931,0.0
